"","sample","phenSumTIC","sapSumTIC","species_code","logPhen","logSap","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"1","IngA_1619",2893131.385772,50940.127471,"IngA",14.8778499979882,10.8384062509057,0.982697387871911,0.0173026121280891,25.54285714,0,0,1,0.982697387871911,0.0173026121280891
"2","IngA_1620",2998148.413179,91569.398194,"IngA",14.9135054604818,11.4248524139933,0.970363184023816,0.0296368159761841,25.54285714,0,0,1,0.970363184023816,0.0296368159761841
"3","IngA_1677",2601759.213563,56393.81073,"IngA",14.7716983947883,10.9401146926346,0.978784588315791,0.0212154116842085,25.54285714,0,0,1,0.978784588315791,0.0212154116842085
"4","IngA_1884",3742552.580977,41207.138108,"IngA",15.1352784448705,10.6263667753792,0.989109472808182,0.0108905271918178,25.54285714,0,0,1,0.989109472808182,0.0108905271918178
"5","IngA_1885",1396902.633766,62954.713945,"IngA",14.1497679391502,11.0501709206243,0.956876119407345,0.0431238805926556,25.54285714,0,0,1,0.956876119407345,0.0431238805926556
"6","IngC_1625",4377561.989638,181349.924195,"IngC",15.29200250401,12.1081837267071,0.960220787849677,0.0397792121503234,26.78,0,0,1,0.960220787849677,0.0397792121503234
"7","IngC_1626",3833491.886371,39193.328337,"IngC",15.159286665472,10.576261815809,0.989879547093539,0.010120452906461,26.78,0,0,1,0.989879547093539,0.010120452906461
"8","IngC_1678",5442526.157654,92231.286683,"IngC",15.5097538782628,11.4320546869402,0.983335983986549,0.0166640160134512,26.78,0,0,1,0.983335983986549,0.0166640160134512
"9","IngC_1679",4014369.60339,150246.559968,"IngC",15.2053908826719,11.9200329567477,0.96392307140093,0.0360769285990701,26.78,0,0,1,0.96392307140093,0.0360769285990701
"10","IngC_1681",2496330.654924,210310.842864,"IngC",14.7303324736254,12.2563419193916,0.922298227143907,0.0777017728560935,26.78,0,0,1,0.922298227143907,0.0777017728560935
"11","IngF_1594",21138149.187911,20318.884047,"IngF",16.8665899843329,9.91930598123747,0.999039680756759,0.000960319243240926,36.8625,0.1146,0.237156604066429,0.762843395933571,0.762110822740877,0.000732573192694265
"12","IngF_1595",9563223.625462,51816.604583,"IngF",16.0734354275048,10.8554659286772,0.994610880106244,0.00538911989375602,36.8625,0.1146,0.237156604066429,0.762843395933571,0.758732341412725,0.00411105452084601
"13","IngF_1598",23970748.644973,22876.624482,"IngF",16.9923448385041,10.0378709032288,0.999046554064878,0.000953445935121901,36.8625,0.1146,0.237156604066429,0.762843395933571,0.762116065998584,0.000727329934987451
"14","IngF_1886",35132685.536988,22780.017456,"IngF",17.3746424670073,10.0336390032871,0.999352020600588,0.000647979399411492,36.8625,0.1146,0.237156604066429,0.762843395933571,0.762349089128029,0.000494306805542058
"15","IngF_1887",43428820.474378,86421.261871,"IngF",17.5866338449061,11.3669890109877,0.998014000188835,0.00198599981116523,36.8625,0.1146,0.237156604066429,0.762843395933571,0.761328389093298,0.00151500684027272
"16","IngG_1592",22360485.509403,39572.57248,"IngG",16.9228059193161,10.5858915431332,0.998233371880763,0.00176662811923715,45.06,0,0,1,0.998233371880763,0.00176662811923715
"17","IngG_1623",21544865.235277,42695.436372,"IngG",16.8856480739778,10.6618473169711,0.998022220434193,0.00197777956580671,45.06,0,0,1,0.998022220434193,0.00197777956580671
"18","IngG_1624",23455560.47992,40846.830079,"IngG",16.9706181454268,10.6175844982319,0.998261571246187,0.00173842875381282,45.06,0,0,1,0.998261571246187,0.00173842875381282
"19","IngG_1680",18064277.266052,89360.605056,"IngG",16.7094469143488,11.4004352047139,0.995077537312881,0.00492246268711903,45.06,0,0,1,0.995077537312881,0.00492246268711903
"20","IngG_1707",23117202.522751,28604.574234,"IngG",16.9560875962967,10.2613219222709,0.998764157408115,0.00123584259188465,45.06,0,0,1,0.998764157408115,0.00123584259188465
"21","IngM_1562",3114793.302399,9874847.423968,"IngM",14.9516733524319,16.1055014178947,0.239790566037476,0.760209433962523,32.12,0,0,1,0.239790566037476,0.760209433962523
"22","IngM_1563",4612564.41008,10311292.63728,"IngM",15.3442945314784,16.1487502251739,0.309073210460425,0.690926789539575,32.12,0,0,1,0.309073210460425,0.690926789539575
"23","IngM_1606",4860061.582626,14174139.751972,"IngM",15.3965616671186,16.4669297180449,0.255333097364689,0.744666902635311,32.12,0,0,1,0.255333097364689,0.744666902635311
